No,Status,Group,Post URL,Message,Score,Reason
1,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359447524300238/,"บ้านผม ใช้ไฟ กลางวันประมาณ 30% กลางคืน 70% เปลี่ยนเป็น meter TOU แล้ว ติดโซล่าเซลล์ จะช่วยมั๊ยครับ ใช้ไฟทั้งหมด ประมาณ 1,100 หน่วย ควรติดขนาดเท่าไหร่ครับ",9,"เจ้าของบ้านต้องการติดตั้งโซล่าเซลล์ มีข้อมูลการใช้ไฟชัดเจน (1,100 หน่วย/เดือน) พ"
2,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359445734300417/,ท่าติดช่วงหน้าฝนหรือหน้าหนาวราคาอุปกรณ์จะถูกกว่านี้มัยครับ,4,คนโพสต์สนใจซื้ออุปกรณ์โซลาร์เซลล์ แต่ยังอยู่ในขั้นตอนศึกษาเปรียบเทียบราคา ยังไม่
3,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298997635533632/,"ต้องการติดตั้งโซลาร์เซลล์+แบต ครับ
กำลังดูไว้เป็น ชุด 5 kWh 1 เฟส + แบต 16 kW
ใช้ไฟกลางคืนส่วนใหญ่ครับ
ปกติค่าไฟประมาณ 3000-4000 บาท/เดือน
ดูเพิ่มเติม",9,ต้องการติดตั้งโซลาร์เซลล์+แบตอย่างชัดเจน มีข้อมูลระบุชัดเป็นชุด 5 kWh 1 เฟส + แบ
4,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298916208875108/,"หาบริษัทที่น่าเชื่อถือ ติดตั้งโซล่าเซลอยากได้inverter :Huawei
ในกทม ค่าไฟประมาณ 4,500-6,500 บาท/เดือนครับ
รายละเอีนดใช้ไฟ ในคอมเม้น",8,ผู้โพสต์ต้องการติดตั้งโซล่าเซลล์ มีรายละเอียดค่าไฟและต้องการ inverter Huawei พร้
5,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298861055547290/,"สอบถามราคาติดตั้ง
ออนกริด 5kW ตอนนี้
อยู่ที่ราคาเท่าไหร่ครับ
ถูกใจเดี๋ยวทักไปเองครับ",8,สอบถามราคาติดตั้งระบบออนกริด 5kW โดยตรง แสดงความสนใจซื้อจริง แต่ยังรอดูราคาก่อนต
6,✅ Lead,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605886363854673/, ค่าไฟแพงแบบนี้…ต้องรีบติดโซล่าเซลล์... ดูเพิ่มเติม,8,ผู้投稿มีเจตนาชัดเจนว่าต้องการติดตั้งโซล่าเซลล์ (ติด = ติดตั้ง) เนื่องจากค่าไฟแพง 
7,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527481434187705/,"รับติดตั้งระบบโซล่าเซลล์ทั่วประเทศ เพียงแต่คุณมีอุปกรณ์ครบ ติดต่อ 093-262-3299
เงื่อนไขดังนี้... ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้รับติดตั้งระบบโซล่าเซลล์ ให้บริการด้านติดตั้ง (เป็นผู้ขายบริการ) 
8,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527462037522978/, #ขอขอบคุณ พี่บอล พาเที่ยว ที่ให้ดูแล นะครับ ,0,โพสต์เป็นการขอบคุณเพื่อนสำหรับทริปและดูแล ไม่มีการแสดงความต้องการซื้อหรือติดตั้ง
9,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527457894190059/,"เปิดจองแผง AIKO 670 ,AIKO770 Duoglass [์NEW]
สัมผัสความล้ำสมัยกับแผงโซลาร์เซลล์ 𝐀𝐈𝐊𝐎 𝐂𝐨𝐦𝐞𝐭 𝟔𝟕𝟎𝐖 ที่มาพร้อมเทคโนโลยี 𝐀𝐁𝐂 (𝐀𝐥𝐥 𝐁𝐚𝐜𝐤 𝐂𝐨𝐧𝐭𝐚𝐜𝐭) เจ้าแรกในไทย!


 ประสิทธิภาพสูงสุด: 𝐌𝐨𝐝𝐮𝐥𝐞 𝐄𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐜𝐲 สูงถึง ",0,ผู้โพสต์เป็นผู้ขาย/ผู้จำหน่ายแผงโซลาร์เซลล์ กำลังประกาศเปิดจองสินค้าใหม่ (AIKO) 
10,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527458190856696/,จะติดกล้องวงจรปิด อย่ามองแค่ราคา! ต้องมองที่ความชัดและบริการหลังการขายด้วย... ดูเพิ่มเติม,0,โพสต์เกี่ยวกับการติดตั้งกล้องวงจรปิด ไม่ใช่เรื่องแสงอาทิตย์ จึงไม่ใช่ลูกค้าที่ต้
