No,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)
1,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4523441461258369/","ขนกองทัพแผงมาไว้ที่นี่แล้ว รีบจับจองนะครับ⚡️
 #แผงโซล่าเซลล์  #แผงaiko #แผงโซล่าร์เซลล์longi #ตัวแทนจำหน่ายโซล่าเซลล์ #โซล่าเซลล์หาดใหญ่  #บ้านพลังงาน",6,"สนใจ/ซื้อ","2026-04-23 14:51","","2026-04-23 15:03:01"
2,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355225608055763/","อยากได้แผงไฮโวลล์ หาซื้อที่ไหนครับ ผมอยู่ชลบอยู่ชลบุรี",3,"สอบถามข้อมูล/รายละเอียด","2026-04-23 14:54","","2026-04-23 15:03:01"
3,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355203318057992/","จะติดแบต 16kw แล้วใช้ TOU สอบถามว่า มี Invertor ยี่ห้อไหน 
ตั้งเวลาชารจ์ตอนกลางคืน 22.00 - 8.00 น
แล้วตั้งเวลาได้ว่า เอาให้ใช้ไฟจากแบต มาใช้ตอนกลางวัน เป็นช่วงเวลา หลัง 17.00 -22.00 น",7,"สนใจ/ซื้อ","2026-04-23 14:21","","2026-04-23 15:03:01"
4,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355196154725375/","ตามหา Longi Solar Panel 560W Hi-Mo X10 Guardian Light Design (หนัก 16kg)
ร้านไหน มีขายบ้างครับ",3,"สอบถามข้อมูล/รายละเอียด","2026-04-23 14:10","","2026-04-23 15:03:01"
5,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355195998058724/","#ผ่อนได้ ST453
#ไม่ต้องใช้เงินสด
#เอาส่วนลดค่าไฟไปจ่ายไฟแนนซ์ 2 ปีคืนทุน ผ่อนครบเหมือนได้ของฟรี
#แก้ปัญหาร้านขายของชำค่าไฟฟ้าแพง
ดูเพิ่มเติม",4,"สนใจ/ซื้อ","2026-04-23 14:10","","2026-04-23 15:03:01"
6,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355195601392097/","4.3 ลากๆ ประมานเท่าไหร่คับพี่",2,"สอบถามข้อมูล/รายละเอียด","2026-04-23 14:09","","2026-04-23 15:03:01"
7,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296260345807361/","ตามหา บริษัท ติดตั้งโซ่ล่าเซลล์กับบ้าน แบบผ่อนได้เพื่อนๆมีบริษัทไหนแนะ นำมั้งครับ",5,"สนใจ/ซื้อ","2026-04-23 13:03","","2026-04-23 15:03:01"
8,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296272015806194/","สอบถามครับ บ้านเดิมทีมีอาการไฟตก แต่ไม่ดับ
ถ้าติดระบบโซล่าเซลล์ไฮบริจ จะช่วยได้ไหมครับ",2,"สอบถามข้อมูล/รายละเอียด","2026-04-23 14:03","","2026-04-23 15:03:01"
9,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296310605802335/","หา บ. ติดตั้ง Solarcell 1เฟส 5kW + Batt 16kwh (300A) เพิ่ม
1.มี Solarcell เดิมอยู่ 5kW ongrid เป็น Micro inverter Hoymiles 630Wx8แผง ยังไม่ได้ขออนุญาตการไฟฟ้า
2.ของใหม่อยากได้ อินเวอร์เตอร์ DEYE ที่มี",9,"สนใจ/ซื้อ","2026-04-23 14:20","","2026-04-23 15:03:01"
10,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296301975803198/","ถ้ากู้ ธอส มาติดโซล่าเซลล์ โดยที่บ้านยังผ่อนอยู่ สามารถใช้สิทธิ์ลดหย่อนภาษีได้ไหมครับ เคยได้ยินว่าถ้าจะลดหย่อนภาษีต้องผ่อนบัตรเครดิตเท่านั้น",2,"สอบถามข้อมูล/รายละเอียด","2026-04-23 14:05","","2026-04-23 15:03:01"
11,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4057463694553256/","แผงโซล่าเซลล์ 370 w 35-44 V 10 A    มือสอง โมโน  สวยๆไฟแรงๆ สภาพนางฟ้า 
ใช้งานมา นอ้ย ไฟออก ปกติ
เอาไปใช้กับ ชุด On offgrid ชุดนอนา
ใช้กับปั้มน้ำ  สูปน้ำ เข้านา ทำน้ำหยด 
ใช้ไฟฟรี มีีจำหน่ายที่ กิตติศ",2,"สอบถามข้อมูล/รายละเอียด","2026-04-17 15:03","","2026-04-23 15:03:01"
12,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1602792234164086/","แบตเตอรี่เก็บพลังงานที่ขายตรงจากโรงงานในจีน
เข้าใจความต้องการของคุณดีขึ้น!",3,"สอบถามข้อมูล/รายละเอียด","2026-04-23 14:38","","2026-04-23 15:03:01"
13,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1602756077501035/","หาสินค้า
HUAWEI 10kw 3P 1 ตัว
HUAWEI 50kw 3P 1 ตัว
Huawei 10kW 1P 1 ตัว
Power module 1 ตัว... ดูเพิ่มเติม",3,"สอบถามข้อมูล/รายละเอียด","2026-04-23 14:03","","2026-04-23 15:03:01"
