No,Post URL,Message,Group,PostDate,Score,Reason,Contact,ScrapedAt
1,https://www.facebook.com/groups/2317142971864047/posts/4353130981598559/,Hybrid Solar 10kw มีแบต 7kw ขอเปลี่ยนมิเตอร์เป็น tou จะดีกว่าแบบปกติไหมครับ ในกรณีครอบคลุมและประหยัดค่าไฟ,2317142971864047,4 นาที,2,สนใจโซล่าเซลล์,,2026-04-21 14:49:05
2,https://www.facebook.com/groups/2317142971864047/posts/4353130981598559/,Hybrid Solar 10kw มีแบต 7kw ขอเปลี่ยนมิเตอร์เป็น tou จะดีกว่าแบบปกติไหมครับ ในกรณีครอบคลุมและประหยัดค่าไฟ,2317142971864047,9 นาที,2,ต้องการรีวิวเปรียบเทียบ,,2026-04-21 14:54:17
3,https://www.facebook.com/groups/1925997401002801/posts/4521452764790572/,ราคาจะปรับขึ้นแล้วรีบตัดสินใจกันน่ะ... ดูเพิ่มเติม,1925997401002801,1 ชั่วโมง,10,กำลังจะซื้อ/ติด,,2026-04-21 15:11:16
4,https://www.facebook.com/groups/2317142971864047/posts/4353140561597601/,แอร์ inverter 18000BTU ถ้าจะติดแผงโซลาน์เซลล์ ทำเองหรือจ้างแบบเป็นชุด  ราคาเท่าไหร่หรอครับ,2317142971864047,14 นาที,10,กำลังจะซื้อ/ติด,,2026-04-21 15:11:31
5,https://www.facebook.com/groups/thaisolarcell/posts/1294725442627518/,"รบกวนขอคำแนะนำครับ ตอนนี้ใช้ inverter huawei 5 kw + แผง 500w 12 แผง  เป็นระบบ hybrid ไม่มีแบต ตอนนี้กำลังจะหาแบตมาใส่ ลังเลว่าจะไปทางไหนดี 
1.ซื้อแบต luna2000 2 ก้อน + power module ใช้ประมานงบ 160,000+-
2.เปลี่ยน inverter แบรนด์อื่น + แบต ประมาน 16 kw. โดยใช้แผงเดิม ในงบ ใกล้เคียง ... ดูเพิ่มเติม",thaisolarcell,2 ชั่วโมง,10,สอบถาม/ขอคำแนะนำ,,2026-04-21 15:11:42
6,https://www.facebook.com/groups/thaisolarcell/posts/1294543235979072/,"รบกวนขอรีวิวบ้านไหนติดของ energy lib มั้ยคะ
บริการหลังการขายเป็นยังไง สินค้าโอเคมั้ย
กำลังลังเลอยู่ว่าจะไป huawei ดีมั้ยค่ะ
ขอบคุณนะคะ",thaisolarcell,7 ชั่วโมง,4,สอบถาม/ขอคำแนะนำ,,2026-04-21 15:11:46
7,https://www.facebook.com/groups/1671213103178339/posts/4061617280804564/,"อินเวอร์เตอร์ แปลงไฟ 12 V เป็น 220 V ขนาด 3,000 วัตต์... ดูเพิ่มเติม",1671213103178339,3 ชั่วโมง,6,ถามเกี่ยวกับโซล่า,,2026-04-21 15:12:07
8,https://www.facebook.com/groups/thaisolarcell/posts/1290343156399080/,สนใจติด6k แบต16k เสนอราคาใต้โพสพร้อมสเปคค่ะ,thaisolarcell,5 วัน,6,สนใจ/กำลังพิจารณา,,2026-04-21 15:12:09
9,https://www.facebook.com/groups/1925997401002801/posts/4521494674786381/,"DEYE Micro Inverter 2.25 Kw build-in wifi and rapid shutdown warranty 10 years รองรับแผงสูงสุด4แผง ผ่านลิสการไฟฟ้า
 https://s.shopee.co.th/16cNevJQO",1925997401002801,2 นาที,4,ถามเกี่ยวกับโซล่า,,2026-04-21 15:13:50
10,https://www.facebook.com/groups/2317142971864047/posts/4353140561597601/,แอร์ inverter 18000BTU ถ้าจะติดแผงโซลาน์เซลล์ ทำเองหรือจ้างแบบเป็นชุด  ราคาเท่าไหร่หรอครับ,2317142971864047,16 นาที,10,กำลังจะซื้อ/ติด,,2026-04-21 15:14:19
11,https://www.facebook.com/groups/thaisolarcell/posts/1290343156399080/,สนใจติด6k แบต16k เสนอราคาใต้โพสพร้อมสเปคค่ะ,thaisolarcell,5 วัน,6,สนใจ/กำลังพิจารณา,,2026-04-21 15:14:34
12,https://www.facebook.com/groups/thaisolarcell/posts/1294725442627518/,"รบกวนขอคำแนะนำครับ ตอนนี้ใช้ inverter huawei 5 kw + แผง 500w 12 แผง  เป็นระบบ hybrid ไม่มีแบต ตอนนี้กำลังจะหาแบตมาใส่ ลังเลว่าจะไปทางไหนดี 
1.ซื้อแบต luna2000 2 ก้อน + power module ใช้ประมานงบ 160,000+-
2.เปลี่ยน inverter แบรนด์อื่น + แบต ประมาน 16 kw. โดยใช้แผงเดิม ในงบ ใกล้เคียง ... ดูเพิ่มเติม",thaisolarcell,2 ชั่วโมง,10,สอบถาม/ขอคำแนะนำ,,2026-04-21 15:14:46
13,https://www.facebook.com/groups/thaisolarcell/posts/1294543235979072/,"รบกวนขอรีวิวบ้านไหนติดของ energy lib มั้ยคะ
บริการหลังการขายเป็นยังไง สินค้าโอเคมั้ย
กำลังลังเลอยู่ว่าจะไป huawei ดีมั้ยค่ะ
ขอบคุณนะคะ",thaisolarcell,7 ชั่วโมง,4,สอบถาม/ขอคำแนะนำ,,2026-04-21 15:14:49
