No,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)

"=== BUYER LEADS ==="

1,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527388444197004/","สอบถามแพรได้นะคะ",3,"สอบถาม","2026-04-27 09:36","","2026-04-27 09:47:59"
2,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527386710863844/","รับงานประกอบตู้ไฟทุกชนิด สนใจติดต่อทางเพจร้านได้เลยนะคะ",7,"สนใจโซล่าเซลล์","2026-04-27 09:34","","2026-04-27 09:47:59"
3,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527357597533422/","แผงโซล่าเซลล์ 245 วัตต์ มือ2
สภาพสวย พร้อมใช้งาน
[
ของมีจำนวนจำกัด
]
ราคา550/แผง
ซื้อ10แผงขึ้นไป เหลือ530/แผง
ดูเพิ่มเติม",9,"สนใจ/ซื้อ","2026-04-27 08:53","","2026-04-27 09:47:59"
4,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359349997643324/","ไฮบริจด์ อินเวอร์เตอร์ 24v 4.2 Kw + batt lipo 24v 200 a ขนาน batt lipo 24v 120a +แผง 18v 200w 8 แผง ถ้าใช้กับแอร์ อิน 12000 btu 1 เครื่อง กับ ตู้เย็น 8 คิว เพียงพอไหม",5,"กำลังพิจารณา","2026-04-27 09:29","","2026-04-27 09:47:59"
5,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299465152153547/","แบตลิเธียมราคาถูก ราคาไม่แรง... ดูเพิ่มเติม",9,"สนใจ/ซื้อ","2026-04-27 08:47","","2026-04-27 09:47:59"
6,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4067318576901101/","ร้านโอเคแบตเตอรี่สาขาอู่ทอง
จำหน่ายแบตมือหนึ่ง และ แบตมือสอง
3K -MAX2500  ขั้ว L แบตปี68เดือน9
รับประกัน 6 เดือน โทรสอบถาม 092-279-8906 ร้านอยู่อู่ทอง",3,"สอบถาม","2026-04-27 08:47","","2026-04-27 09:47:59"
7,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4061443357488623/","TRINA SOLAR
ซื้อจำนวนเยอะ
EPC
มีราคาพิเศษ... ดูเพิ่มเติม",9,"สนใจ/ซื้อ","2026-04-21 09:47","","2026-04-27 09:47:59"
8,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1605842747192368/","แผงโซล่าเซลล์ 245 วัตต์ มือ2
สภาพสวย พร้อมใช้งาน
[
ของมีจำนวนจำกัด
]
ราคา550/แผง
ซื้อ10แผงขึ้นไป เหลือ530/แผง
ดูเพิ่มเติม",9,"สนใจ/ซื้อ","2026-04-27 08:49","","2026-04-27 09:47:59"
9,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1605838023859507/","Deye Micro Inverter 1.6kW/2.25kW พร้อม Rapid Shutdown Build in AFCI  - ประกัน ... ดูเพิ่มเติม",7,"สนใจโซล่าเซลล์","2026-04-27 08:47","","2026-04-27 09:47:59"



"=== NOT BUYER LEADS (Filtered Out) ==="

1,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527388580863657/","วันนี้ไม่แดด ค่อยๆเดินทีละก้าว #ผมเชื่อแล้วว่าวงการนี้เข้าแล้วออกยาก #พลังงานทดแทน",0,"ไม่มี signals","2026-04-27 09:37","","2026-04-27 09:47:59"
2,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527380310864484/"," หลุดจอง  100 แผง ช้าหมดนะคะ
แผง... ดูเพิ่มเติม",0,"ไม่มี signals","2026-04-27 09:25","","2026-04-27 09:47:59"
3,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527356307533551/","รับติดตั้งโซล่าเซลล์ครับ... ดูเพิ่มเติม",0,"ไม่มี signals","2026-04-27 08:51","","2026-04-27 09:47:59"
4,"383849116272497","https://www.facebook.com/groups/383849116272497/posts/1659722728685123/"," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",0,"ไม่มี signals","2026-04-26 09:47","","2026-04-27 09:47:59"
5,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359361297642194/","ถามผู้รู้ต้องทำยังไงครับ... ดูเพิ่มเติม",0,"ไม่มี signals","2026-04-27 09:44","","2026-04-27 09:47:59"
6,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359358537642470/","ขายแบตเตอรี่ Biaoma 12v 100ah มี 4ก้อน (ขายเหมา) ขายก้อนละ 1,590 บาท ใช้งานอยู่เอง อายุการใช้งาน 1ปี สนใจทักส่วนตัวได้เลยค่ะ รับเองเท่านั้นได้ที่ ซอยมิสทีน กทม. ค่ะ",0,"โฆษณาขาย","2026-04-27 09:40","","2026-04-27 09:47:59"
7,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359356804309310/","สนใจแผงโซล่าเซลล์Aiko 
สินค้ามีพร้อมส่ง Aiko650w ค่ะ
สั่งซื้อสอบถามติดต่อเกได้เลยค่ะ
โทร.065-9569689   
แอดไลน์ID gaga 65
สนใจแผงโซล่าเซลล์Aiko ... ดูเพิ่มเติม",0,"โฆษณาขาย","2026-04-27 09:38","","2026-04-27 09:47:59"
8,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359291474315843/","แผง Trina Solar 625Wแผงละ 3,150 บาท ของอยู่สมุทรปราการ ส่งได้ ชื่อเยอะลดได้ สนใจติดต่อ 0800106652 ฝ่ายขาย",0,"โฆษณาขาย","2026-04-27 09:36","","2026-04-27 09:47:59"
9,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359355084309482/","แผง 600 w รับแสงสองด้าน TIER 1 
​2,590 ยกเลททักแชทสอบถามค่ะ #สระบุรี",0,"โฆษณาขาย","2026-04-27 09:36","","2026-04-27 09:47:59"
10,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359354147642909/","วันนี้ไม่แดด ค่อยๆเดินทีละก้าว #ผมเชื่อแล้วว่าวงการนี้เข้าแล้วออกยาก #พลังงานทดแทน",0,"ไม่มี signals","2026-04-27 09:35","","2026-04-27 09:47:59"
11,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359354037642920/","ชาร์จเจอร์ MPPT : 25A LM2524 ชาร์จแบต12หรือ24V. และทำงานได้โดยไม่มีแบต
ปรับ V ได้ ปรับ A ได้ รับไฟจากแผ่นโซล่าได้ไม่เกิน60V. รุ่นนี้ถือว่าใช้ดีเลยสำหรับคนงบน้อยระบบไม่ใหญ่มากตัวนี้เหมาะเลย
รุ่นนี้ปรับ",0,"ไม่มี signals","2026-04-27 09:35","","2026-04-27 09:47:59"
12,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359350380976619/","ตอนนี้ติดโซล่าเซลขนาด 5.5 kw จำนวน 10 แผงแต่ผลิตไฟได้ออกมาไม่พอการใช้งานเราสามารถติดแผงเพิ่มอีกซัก 3-4 แผงได้ใหม",0,"ไม่มี signals","DeterminedPapaya4443","","2026-04-27 09:47:59"
13,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299526265480769/","ชุดบ้านสวน ชุดนอนนา 3000W  โซล่าเซลล์ 12V to 220V ครบชุดพร้อมใช้งาน สินค้ามีปร... ดูเพิ่มเติม",0,"ไม่มี signals","2026-04-27 09:46","","2026-04-27 09:47:59"
14,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299524952147567/","ทดสอบสินค้า เตรียมจัดส่งลูกค้าจังหวัดพิษณุโลก และจังหวัดยโสธรจำนวน 2 เครื่อง..... ดูเพิ่มเติม",0,"ไม่มี signals","2026-04-27 09:44","","2026-04-27 09:47:59"
15,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299524372147625/","ถามผู้รู้ต้องทำยังไงครับ... ดูเพิ่มเติม",0,"ไม่มี signals","2026-04-27 09:43","","2026-04-27 09:47:59"
16,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299522522147810/","#พร้อมส่งไทย แบตลิเธียม LiFeP04 CATL 12V 24V 48V 100A 150A 200A 100-400ah ราคาส่งโรงงานมาเองเกรดA แถมที่ชาร์จไฟบ้านทุกรุ่น",0,"โฆษณาขาย","2026-04-27 09:39","","2026-04-27 09:47:59"
17,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1298848238881905/","*** ระวังกันด้วยนะครับ น่าจะเคสเดียวกันกับพี่สุรวิทย์ ***
ตอนนี้โจรจะไม่ใช้ บช บุคคลเพื่อทำธุรกรรมแล้วครับ มันใช้เป็นการ แสกน qr code ชำระเงินอัตโนมัติ ผ่านทางช่องทางของบริษัทนี้ ซึ่งเราไม่สามารถตรวจส",0,"ไม่มี signals","2026-04-26 15:47","","2026-04-27 09:47:59"
18,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299519408814788/","วันนี้ไม่แดด ค่อยๆเดินทีละก้าว #ผมเชื่อแล้วว่าวงการนี้เข้าแล้วออกยาก #พลังงานทดแทน",0,"ไม่มี signals","2026-04-27 09:33","","2026-04-27 09:47:59"
19,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4067261403573485/","แผงโซลาร์เซลล์ 245W มือสอง
... ดูเพิ่มเติม",0,"ไม่มี signals","ตอบกลับเร็วมาก
 
3 ชั่วโมง","","2026-04-27 09:47:59"
20,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4066268097006149/","Changer... ดูเพิ่มเติม",0,"ไม่มี signals","2026-04-26 09:47","","2026-04-27 09:47:59"
