No,Post URL,Message,Score,Reason,Group,PostDate,Contact,ScrapedAt
1,https://www.facebook.com/groups/thaisolarcell/posts/1291719032928159/,"คนที่บ้านติดโซล่าเซลล์แล้ว
อยากจะบอกอะไรกับคนที่กำลังคิดจะติดคะ
",,,thaisolarcell,,,2026-04-23 17:47:34
2,https://www.facebook.com/groups/thaisolarcell/posts/1292532242846838/,วันนี้แนะนำเครื่องมือใหม่ สำหรับคนกำลังคิดอยากจะติดโซลาร์เซลล์ที่บ้านครับ หลาย... ดูเพิ่มเติม,,,thaisolarcell,,,2026-04-23 17:47:15
3,https://www.facebook.com/groups/2317142971864047/posts/4355341034710887/,มีใครเคยติด Atmoce กันบ้างไหมครับ ก่อนราคาขึ้นช่วง เมษา ได้ราคาเท่าไหร่กันบ้างครับ,,,2317142971864047,,,2026-04-23 17:46:50
4,https://www.facebook.com/groups/2317142971864047/posts/4355348581376799/,"ส่งต่อครับ 3900รวมส่ง
อินเวอร์เตอร์หม้อแปลงงานประกอบไทย บอร์ดแดงพร้อมจอ 48v 4000w
ใช้งานปกติ
อยู่อำเภอหนองกี่บุรีรัมย์นัดรับได้
สนใจ 0844102988",,,2317142971864047,,,2026-04-23 17:46:30
5,https://www.facebook.com/groups/2317142971864047/posts/4355352118043112/,"สอบถามพี่ๆครับ ใช้ไฟ3-4พันต่อเดือน ส่วยมากใช้แอร์กลางคืน3ตัว
ควรติดแบบไหนดี",,,2317142971864047,,,2026-04-23 17:46:19
6,https://www.facebook.com/groups/2317142971864047/posts/4355353058043018/,"ขอสอบถามค่ะ Lux power 6kw SN6000W ต่อกับ jinko 635*9 สติงเดียว รับไหวไหมคะ ถาม gpt กับ gemini บอกว่าเสี่ยงเกิน spec ค่ะ เครื่องจะตัด error พังไว 
เราไม่มีความรู้ค่ะ แต่ช่างที่จะติดให้แจ้งว่า สติงเดียว",,,2317142971864047,,,2026-04-23 17:46:08
7,https://www.facebook.com/groups/thaisolarcell/posts/1296107675822628/,"อพาร์ทเมน​ต์ ค่่าไฟ100000 หนักมาก
อยากติดโซล่าเชล แนะนำเท่าไหร่ดีคะ",,,thaisolarcell,,,2026-04-23 12:40:23
8,https://www.facebook.com/groups/thaisolarcell/posts/1296085892491473/,อยากติดโซล่าเซลล์แบบมีผ่อนได้คะ ขอนแก่น ค่าไฟเดือนละ 3500-4500,,,thaisolarcell,,,2026-04-23 12:10:48
9,https://www.facebook.com/groups/1925997401002801/posts/4523214884614360/,อินเวอร์เตอร์ Inverter  8000W... ดูเพิ่มเติม,,,1925997401002801,,,
10,https://www.facebook.com/groups/2317142971864047/posts/4355148808063443/,ตามหาบริษัทติดโซล่าเซลล์ที่ผ่อน 0% ได้ครับ,,,2317142971864047,,,
