No,Post URL,Message,Score,Reason,Group,PostDate,Contact,ScrapedAt
1,"https://www.facebook.com/groups/1925997401002801/posts/4523214884614360/","อินเวอร์เตอร์ Inverter  8000W... ดูเพิ่มเติม",4,"🔵 4 related terms","1925997401002801","3 ชั่วโมง","","2026-04-23 06:13:51"
2,"https://www.facebook.com/groups/383849116272497/posts/1656698565654206/"," ด่วน! ค่าไฟรอบใหม่กำลังขยับขึ้นอีกแล้ว 
คณะกรรมการกำกับกิจการพลังงานมีมติให้ปรับขึ้นอัตราค่าไฟฟ้าผันแปร (Ft) ประจำงวดเดือนพฤษภาคมถึงสิงหาคม 2569 ซึ่งจะส่งผลให้ภาระ... ดูเพิ่มเติม",4,"🟢 LOW: ค่าไฟ","383849116272497","1 วัน","","2026-04-23 06:13:51"
3,"https://www.facebook.com/groups/383849116272497/posts/1656698565654206/"," ด่วน! ค่าไฟรอบใหม่กำลังขยับขึ้นอีกแล้ว 
คณะกรรมการกำกับกิจการพลังงานมีมติให้ปรับขึ้นอัตราค่าไฟฟ้าผันแปร (Ft) ประจำงวดเดือนพฤษภาคมถึงสิงหาคม 2569 ซึ่งจะส่งผลให้ภาระ... ดูเพิ่มเติม",4,"🟢 LOW: ค่าไฟ","383849116272497","1 วัน","","2026-04-23 06:13:51"
4,"https://www.facebook.com/groups/383849116272497/posts/1656698565654206/"," ด่วน! ค่าไฟรอบใหม่กำลังขยับขึ้นอีกแล้ว 
คณะกรรมการกำกับกิจการพลังงานมีมติให้ปรับขึ้นอัตราค่าไฟฟ้าผันแปร (Ft) ประจำงวดเดือนพฤษภาคมถึงสิงหาคม 2569 ซึ่งจะส่งผลให้ภาระ... ดูเพิ่มเติม",4,"🟢 LOW: ค่าไฟ","383849116272497","1 วัน","","2026-04-23 06:13:51"
5,"https://www.facebook.com/groups/383849116272497/posts/1656090079048388/"," LONGi Hi-MO X10 650W (LR7-72HVH-650M)
 แผงโซลาร์ตัวท็อป HPBC 2.0
 กำลังผลิต 650W เต็ม
 Tier 1 Bloomberg
 รับประกัน 15 ปี / 30 ปี
ดูเพิ่มเติม",3,"🟡 MEDIUM: longi","383849116272497","2 วัน","","2026-04-23 06:13:51"
6,"https://www.facebook.com/groups/2317142971864047/posts/4355150084729982/","ช่วยแนะนำร้านขายอินเวอร์เตอร์ตัวนี้หน่อยครับ แบบได้ของเลยไม่รอ pre order",4,"🟢 LOW: ช่วยแนะนำ","2317142971864047","1 นาที","","2026-04-23 06:13:51"
7,"https://www.facebook.com/groups/2317142971864047/posts/4355148808063443/","ตามหาบริษัทติดโซล่าเซลล์ที่ผ่อน 0% ได้ครับ",4,"🟢 LOW: ตาม","2317142971864047","2 นาที","","2026-04-23 06:13:51"
8,"https://www.facebook.com/groups/2317142971864047/posts/4355150084729982/","ช่วยแนะนำร้านขายอินเวอร์เตอร์ตัวนี้หน่อยครับ แบบได้ของเลยไม่รอ pre order",4,"🟢 LOW: ช่วยแนะนำ","2317142971864047","1 นาที","","2026-04-23 06:13:51"
9,"https://www.facebook.com/groups/2317142971864047/posts/4355148808063443/","ตามหาบริษัทติดโซล่าเซลล์ที่ผ่อน 0% ได้ครับ",4,"🟢 LOW: ตาม","2317142971864047","2 นาที","","2026-04-23 06:13:51"
10,"https://www.facebook.com/groups/2317142971864047/posts/4355146661396991/","ประกาศขาย inverter hybrid on off grid 6.2 k พร้อมแผง 19 แผง 315 วัตต์ในราคา 35,000บาทท่านใดสนใจของอยู่ที่ชลบุรีติดต่อได้ที่ 063-015-7484 ต้น",6,"🟢 สนใจ/ซื้อ","2317142971864047","5 นาที","","2026-04-23 06:13:51"
11,"https://www.facebook.com/groups/2317142971864047/posts/4355148808063443/","ตามหาบริษัทติดโซล่าเซลล์ที่ผ่อน 0% ได้ครับ",4,"🟢 LOW: ตาม","2317142971864047","2 นาที","","2026-04-23 06:13:51"
12,"https://www.facebook.com/groups/2317142971864047/posts/4355146661396991/","ประกาศขาย inverter hybrid on off grid 6.2 k พร้อมแผง 19 แผง 315 วัตต์ในราคา 35,000บาทท่านใดสนใจของอยู่ที่ชลบุรีติดต่อได้ที่ 063-015-7484 ต้น",6,"🟢 สนใจ/ซื้อ","2317142971864047","5 นาที","","2026-04-23 06:13:51"
13,"https://www.facebook.com/groups/2317142971864047/posts/4355148808063443/","ตามหาบริษัทติดโซล่าเซลล์ที่ผ่อน 0% ได้ครับ",4,"🟢 LOW: ตาม","2317142971864047","2 นาที","","2026-04-23 06:13:51"
14,"https://www.facebook.com/groups/2317142971864047/posts/4355146661396991/","ประกาศขาย inverter hybrid on off grid 6.2 k พร้อมแผง 19 แผง 315 วัตต์ในราคา 35,000บาทท่านใดสนใจของอยู่ที่ชลบุรีติดต่อได้ที่ 063-015-7484 ต้น",6,"🟢 สนใจ/ซื้อ","2317142971864047","5 นาที","","2026-04-23 06:13:51"
15,"https://www.facebook.com/groups/2317142971864047/posts/4355146661396991/","ประกาศขาย inverter hybrid on off grid 6.2 k พร้อมแผง 19 แผง 315 วัตต์ในราคา 35,000บาทท่านใดสนใจของอยู่ที่ชลบุรีติดต่อได้ที่ 063-015-7484 ต้น",6,"🟢 สนใจ/ซื้อ","2317142971864047","5 นาที","","2026-04-23 06:13:51"
16,"https://www.facebook.com/groups/2317142971864047/posts/4355143734730617/","ขออนุญาตตามด้วยครับ",2,"🟢 LOW: ตาม","2317142971864047","1 นาที","","2026-04-23 06:13:51"
17,"https://www.facebook.com/groups/thaisolarcell/posts/1295638865869509/","Inverter รุ่น กี่ kw กี่เฟสสครับ",2,"🔵 2 related terms","thaisolarcell","18 ชั่วโมง","","2026-04-23 06:13:51"
18,"https://www.facebook.com/groups/thaisolarcell/posts/1295638865869509/","Inverter รุ่น กี่ kw กี่เฟสสครับ",2,"🔵 2 related terms","thaisolarcell","18 ชั่วโมง","","2026-04-23 06:13:51"
19,"https://www.facebook.com/groups/thaisolarcell/posts/1295638865869509/","Inverter รุ่น กี่ kw กี่เฟสสครับ",2,"🔵 2 related terms","thaisolarcell","18 ชั่วโมง","","2026-04-23 06:13:51"
20,"https://www.facebook.com/groups/thaisolarcell/posts/1296260345807361/","ตามหา บริษัท ติดตั้งโซ่ล่าเซลล์กับบ้าน แบบผ่อนได้เพื่อนๆมีบริษัทไหนแนะ นำมั้งครับ",2,"🟢 LOW: ตาม","thaisolarcell","14 นาที","","2026-04-23 06:13:51"
21,"https://www.facebook.com/groups/thaisolarcell/posts/1295638865869509/","Inverter รุ่น กี่ kw กี่เฟสสครับ",2,"🔵 2 related terms","thaisolarcell","18 ชั่วโมง","","2026-04-23 06:13:51"
22,"https://www.facebook.com/groups/thaisolarcell/posts/1296260345807361/","ตามหา บริษัท ติดตั้งโซ่ล่าเซลล์กับบ้าน แบบผ่อนได้เพื่อนๆมีบริษัทไหนแนะ นำมั้งครับ",2,"🟢 LOW: ตาม","thaisolarcell","14 นาที","","2026-04-23 06:13:51"
23,"https://www.facebook.com/groups/429829328127055/posts/1602598617516781/","✅อัพเดทงานซ่อมคราบ🎉 #Powmr #รับซ่อมอินเวอร์เตอร์ #รับติดตั้งโซล่าเซลล์ #Anern",3,"🔵 3 related terms","429829328127055","4 ชั่วโมง","","2026-04-23 06:13:51"
