No,Status,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),ScrapeAt (UTC+7)
1,✅ Lead,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527616724174176/,สนใจงานติดตั้ง โซล่าเซลล์ ติดต่อทางเพจได้เลยนะคะ,9,สนใจงานติดตั้ง โซล่าเซลล์,46 นาที,2026-04-27 15:40:44
2,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359623394282651/,ขออณุญาติครับ ตัวนี้ใช้ได้นานไม่ครับ  มีข้อเสียไม่ครับ,5,ถามเรื่องความทนทานและข้อเสียของสินค้า ซึ่งเป็นพฤติกรรมของผู้ซื้อที่สนใจศึกษาข้อม,18 นาที,2026-04-27 15:42:21
3,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299621202137942/,ปรึกษาคา... ดูเพิ่มเติม,4,ผู้โพสต์แสดงเจตนาต้องการปรึกษาเกี่ยวกับโซลาร์เซลล์ ซึ่งบ่งชี้ว่าเป็นผู้ที่สนใจซื,3 ชั่วโมง,2026-04-27 15:42:47
4,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299737342126328/,"ตั้งโซล่าเซลล์แอร์ 12,000 BTU ใช้งานเฉพาะกลางวันงบเท่าไหร่ครับ",7,"ผู้ใช้สอบถามเกี่ยวกับงบประมาณในการติดตั้งโซล่าเซลล์สำหรับแอร์ 12,000 BTU แสดงถึง",1 นาที,2026-04-27 15:42:46
5,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299735055459890/,"ต้องการติดตั้ง Solar Hybrid  Deye ขนาด 5Kw + แบต 16Kwh พิกัด จ.นนทบุรี
สามารถผ่อน 0% 10 เดือน กับ บริษัทหรือบัตรเครดิต และออก E-Tax ได้
เสนอราคา ทักแชท มาได้เลยครับ",9,ผู้โพสต์ต้องการติดตั้ง Solar Hybrid ขนาด 5Kw พร้อมแบต 16Kwh ที่จ.นนทบุรี มีความต,3 นาที,2026-04-27 15:42:53
6,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1297009719065757/,มีใครขอยื่นสินเชื่อดอกเบี้ยต่ำของธนาคารออมสินมาติดโซล่าเซลล์แล้วบ้างคะ,8,ผู้โพสต์ถามเกี่ยวกับการขอสินเชื่อดอกเบี้ยต่ำเพื่อติดตั้งโซล่าเซลล์ ซึ่งแสดงว่ามี,3 วัน,2026-04-27 15:43:13
7,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299730935460302/,"ขอราคาพร้อม vat ออก e-tax ได้
ระบบ Hybrid inverter 5k พร้อมแบต 16kw
หน้างาน บางบัวทองครับ",8,ต้องการขอราคาซื้อระบบโซลาร์เซลล์ Hybrid 5kW พร้อมแบตเตอรี่ 16kWh สำหรับติดตั้งที,10 นาที,2026-04-27 15:43:07
8,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527617240840791/," ส่งมอบงานโซล่าเซลล์ โซล่ารูฟท็อป 
 จบไปเรียบร้อยกับอีก 1 ผลงาน การติดตั้ง
... ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้ขายหรือผู้ติดตั้งโซล่าเซลล์ ไม่ใช่ผู้ที่ต้องการซื้อหรือติดตั้ง,45 นาที,2026-04-27 15:40:44
9,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527617314174117/,"670 w พร้อมส่งครับ
ปรีกษาทีมงานฝ่ายขาย
 : 095-5718884  เซลฟิวส์... ดูเพิ่มเติม",0,โพสต์นี้เป็นการประชาสัมพันธ์ขายอุปกรณ์โซลาร์เซลล์ 670 วัตต์ พร้อมส่ง และแจ้งเบอร,45 นาที,2026-04-27 15:40:44
10,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527593107509871/,ผู้รับเหมา / ร้านติดตั้งโซลาร์ ห้ามเลื่อนผ่านโพสต์นี้!... ดูเพิ่มเติม,0,ผู้โพสต์เป็นผู้รับเหมาหรือร้านติดตั้งโซลาร์ ซึ่งเป็นผู้ขายบริการ ไม่ใช่ผู้ซื้อ,1 ชั่วโมง,2026-04-27 15:40:54
11,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527603964175452/,"RAPD ส่งฟรี Li - BATTERY Lithium 300Ah 200Ah 100Ah 51.2 V มีให้เลือก 3แบบ (NEW)
 https://s.shopee.co.th/5L8IGIiNct
 https://s.lazada.co.th/s.ZgG9ML?t=p-i6YYjZo-sSIKWAX",0,ผู้โพสต์เป็นผู้ขายสินค้า ไม่ได้แสดงความต้องการซื้อหรือติดตั้งแผงโซลาร์,1 ชั่วโมง,2026-04-27 15:40:48
12,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527592940843221/,"สายไฟ PV Cable สายไฟ PV ขนาด 6 sq.mm.ยี่ห้อ LINK สีแดง/ดำ 1,000R M. /Roll... ดูเพิ่มเติม",0,โพสต์เป็นการขายสายไฟ PV Cable ซึ่งเป็นผู้ขายหรือผู้ประกาศ ไม่ใช่ผู้ที่ต้องการซื้,1 ชั่วโมง,2026-04-27 15:40:59
13,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527582014177647/,Inbox เลยค่า,0,ไม่มีความต้องการซื้อหรือติดตั้งโซลาร์เซลล์ ข้อความเพียงขอให้ติดต่อกลับโดยไม่ระบุ,1 ชั่วโมง,2026-04-27 15:41:10
14,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527586280843887/,"ราคา 65,000 บาท... ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขายที่แจ้งราคา 65,000 บาท ซึ่งไม่ได้แสดงความต้องการซื้อหรือติดตั้",1 ชั่วโมง,2026-04-27 15:41:04
15,❌ Rejected,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1659722728685123/," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้ขายแผงโซลาร์เซลล์มือสอง ไม่ได้แสดงความต้องการซื้อหรือติดตั้ง,2 วัน,2026-04-27 15:41:34
16,❌ Rejected,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1657457405578322/,"⚠️ ด่วน! ค่าไฟรอบใหม่ขึ้นอีกแล้ว ⚠️
พ.ค. – ส.ค. 𝟐𝟓𝟔𝟗 นี้ ค่า 𝐅𝐭 ปรับขึ้นเป็น 𝟎.𝟏𝟔𝟐𝟑 บาท/หน่วย จากเดิม 𝟎.𝟎𝟗𝟕𝟐 บาท/หน่วย แปลว่าทั้งบ้านและธุรกิจต้องเตรี... ดูเพิ่มเติม",3,โพสต์แชร์ข่าวค่าไฟขึ้น ดูเหมือนกังวลเรื่องค่าไฟแต่ไม่ได้ถามหรือแสดงเจตนาซื้อติดต,4 วัน,2026-04-27 15:41:51
17,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359633860948271/,สำหรับพี่พี่ท่านไหนสนใจแบตเตอรี่ติดต่อสอบถามได้นะครับ ราคาแบ่งปันครับ,0,โพสต์นี้เป็นผู้ขายแบตเตอรี่ ไม่ใช่ผู้ที่ต้องการซื้อหรือติดตั้งโซลาร์เซลล์,5 นาที,2026-04-27 15:42:06
18,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359629674282023/,แบตเต็มหมดแล้วเสียดายแดดจังเลย,1,แสดงความเสียดายเรื่องแบตเตอรี่หมด ไม่ได้แสดงความต้องการซื้อหรือติดตั้งโซลาร์เซลล,10 นาที,2026-04-27 15:42:06
19,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359631614281829/,ตอนนี้ติดตั้งโซล่าเซลล์ยื่นสินเชื่อกับธนาคารไหนที่อนุมัติและยื่นสินเชื่อได้และ ลดหย่อนภาษีเข้าตามนโยบายรัฐบาลบ้างคะ ติดโซล่าเซลล์ของดึเย่ ในบ้านเสียงดังมากปกติไหมค่ะ,0,Error: The read operation timed out,8 นาที,2026-04-27 15:42:06
20,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359629510948706/,แนะนำหน่อยคะ อินเวอร์เตอร์ตัวนี่จู่ๆรีสตาทเอง เกิดจากอะไรคะ แล้วมีวิธีแก้ไขยังไงบ้างคะ,0,ผู้โพสต์ถามเกี่ยวกับปัญหาอินเวอร์เตอร์ที่รีสตาร์ทเอง และต้องการคำแนะนำวิธีแก้ไขป,10 นาที,2026-04-27 15:42:10
21,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359630317615292/,"ขอสอบถามคะ แอร์ 3ตัว 18000 ทั้ง3 ตัว ตู้เย็น 10-2ตู้ 18 -1 ตู้
ควรติดตั้งราคาเท่าไหร่โซล่าเซลล์ งบควรเท่าไหร่ค่ะ ขอบคุณคะ ",0,Error: The read operation timed out,9 นาที,2026-04-27 15:42:06
22,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359617384283252/, ครบ จบ ในที่เดียว!... ดูเพิ่มเติม,0,โพสต์นี้เป็นโฆษณาทั่วไปที่ใช้วลีการตลาด 'ครบ จบ ในที่เดียว' ไม่มีการระบุความต้อง,27 นาที,2026-04-27 15:42:28
23,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359611967617127/,แผงโซล่าเซลล์ขึ้นกี่%แล้ว ตั้งแต่ปีใหม่มาครับ,1,ถามเกี่ยวกับราคาแผงโซล่าเซลล์ขึ้นกี่% ไม่ได้แสดงเจตนาต้องการซื้อหรือติดตั้ง เป็น,33 นาที,2026-04-27 15:42:32
24,❌ Rejected,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299713132128749/,"ปรึกษาค่ะ ที่บ้านติด solar 5kw (เห็นผลิตได้ max สุด ไม่เกิน 3 เลย) ไม่มีแบต huawei
ค่าไฟเดือน เมษา 68 /3700 ตอนยังไม่ติด
ค่าไฟเดือน เมษา 69/ 3400 
 ติดแล้ว
กลางวัน เปิดแอร์ 30000btu ให้แมว ประมาณ 3ชม.",0,ผู้โพสต์ติด solar ไปแล้ว ต้องการปรึกษาเรื่องประสิทธิภาพของระบบที่มีอยู่ (ผลิตได้,40 นาที,2026-04-27 15:42:47
