No,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)
1,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4523484864587362/","รับงานประกอบตู้ไฟทุกชนิด",5,"กำลังพิจารณา","2026-04-23 16:38","","2026-04-23 16:59:01"
2,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4523483797920802/","สนใจสินค้าทักแชทสอบถามได้นะคะ หรือทักแชทสอบถามทางเพจ JPEN Market ได้เลยนะคะ หร... ดูเพิ่มเติม",3,"สอบถาม","2026-04-23 16:36","","2026-04-23 16:59:01"
3,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4523441461258369/","ขนกองทัพแผงมาไว้ที่นี่แล้ว รีบจับจองนะครับ⚡️
 #แผงโซล่าเซลล์  #แผงaiko #แผงโซล่าร์เซลล์longi #ตัวแทนจำหน่ายโซล่าเซลล์ #โซล่าเซลล์หาดใหญ่  #บ้านพลังงาน",7,"สนใจโซล่าเซลล์","2026-04-23 15:59","","2026-04-23 16:59:01"
4,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355279744717016/","มีช่างมาประเมินราคา แจ้งว่าไม่ต้องแจ้งการไฟฟ้าก็ได้ หลังจากติดตั้งแล้ว กังวลจะทำให้มีปัญหาอะไรมั้ยคะผิดกฎหมายมั้ยคะ ￼เราคิดมาตลอด ว่าต้องได้รับอนุญาตจากการไฟฟ้า ขอหน้าคำแนะนำหน่อยค่ะ",3,"สอบถาม","2026-04-23 16:48","","2026-04-23 16:59:01"
5,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4355276738050650/","แอร์2ตัวใช้โซล่าเซลล์ขนาดใหนค่ะราคาประมานกี่บาท",5,"กำลังพิจารณา","2026-04-23 16:44","","2026-04-23 16:59:01"
6,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296159495817446/","ค่าไฟบ้าน 8000 กว่าบาท อยากติดโซลล่าเซลล์ ใช้ไฟ กลางวัน และกลางคืน ประมาณกี่บาทครับ อยู่ กทม.",5,"กำลังพิจารณา","2026-04-23 10:59","","2026-04-23 16:59:01"
7,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296364852463577/","อินเวอร์เตอร์ปั๊มน้ำ UMC. (เครื่องควบคุมมอเตอร์)... ดูเพิ่มเติม",5,"กำลังพิจารณา","2026-04-23 16:40","","2026-04-23 16:59:01"
8,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296363429130386/","PowMr อินเวอร์เตอร์ไฮบริด 4.2kw/6.2kw/10.2kw ต่อกริด/นอกกริด 230VAC คลื่นไซน์แท้ พร้อมตัวควบคุมชาร์จ MPPT ในตัว รองรับแบตเตอรี่ Lifepo4 ไฟ RGB",7,"สนใจโซล่าเซลล์","2026-04-23 16:37","","2026-04-23 16:59:01"
9,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296362929130436/","หาแผงโซล่าเซลส์ 650w-720w ด่วนคะ 0610134434",9,"สนใจ/ซื้อ","2026-04-23 16:36","","2026-04-23 16:59:01"
10,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296137342486328/","ขอสอบถามผู้รู้ครับ 
ผมได้ใบเสนอราคา
- แผง ZNSHINE Solar 570W รุ่น ZXM7-UHLD144 × 14 แผง
- Inverter: Growatt SPM 6000TL-HU (6kW)  
- Battery: Growatt HOPE 16 kWh  ... ดูเพิ่มเติม",3,"สอบถาม","2026-04-23 09:59","","2026-04-23 16:59:01"
11,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1296272015806194/","สอบถามครับ บ้านเดิมทีมีอาการไฟตก แต่ไม่ดับ
ถ้าติดระบบโซล่าเซลล์ไฮบริจ จะช่วยได้ไหมครับ",3,"สอบถาม","2026-04-23 13:59","","2026-04-23 16:59:01"
12,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4063645330601759/","ขาย bms jk bd4a20s6p 8s-20s ของใหม่ มี 6 ตัว 
ขายตัวละ 700 รวมส่ง
รับเองได้สุขุวิท101
สนใจ ib สอบถามได้คับ",3,"สอบถาม","2026-04-23 16:21","","2026-04-23 16:59:01"
13,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4061443357488623/","TRINA SOLAR
ซื้อจำนวนเยอะ
EPC
มีราคาพิเศษ... ดูเพิ่มเติม",7,"สนใจโซล่าเซลล์","2026-04-21 16:59","","2026-04-23 16:59:01"
14,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1602792234164086/","แบตเตอรี่เก็บพลังงานที่ขายตรงจากโรงงานในจีน
เข้าใจความต้องการของคุณดีขึ้น!",5,"กำลังพิจารณา","2026-04-23 15:59","","2026-04-23 16:59:01"
15,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1602756077501035/","หาสินค้า
HUAWEI 10kw 3P 1 ตัว
HUAWEI 50kw 3P 1 ตัว
Huawei 10kW 1P 1 ตัว
Power module 1 ตัว... ดูเพิ่มเติม",9,"สนใจ/ซื้อ","2026-04-23 14:59","","2026-04-23 16:59:01"
