No,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)

"=== BUYER LEADS ==="

1,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359385717639752/","สอบถาม จะติดโซลล่าบนหลังคาจอดรถ แต่ไม่ชัวร์ว่าโดนตึก, ต้นไม้ บังมั๊ย
พอจะมีอุปกรณ์ตรวจสอบแสงแดดก่อนติดตั้งหรือไม่ครับ
กรณีถ้าเลี่ยงเงาบังบางช่วงเวลาไม่ได้ ควรจะติดแบบไหนดีครับ?",7,"ผู้โพสต์สนใจติดตั้งโซลาร์เซลล์บนหลังคาจอดรถ แสดงเจตนาชัดเจนว่าต้องการซื้อและติดตั้ง ถามเรื่องการตรวจสอบแสงแดดก่อนติดตั้งและวิธีการติดตั้งในกรณีที่มีเงาบัง ยังอยู่ในขั้นตอนศึกษาข้อมูลเพิ่มเติม","2026-04-27 10:32","","2026-04-27 10:33:52"
2,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1298868955546500/","ช่วงนี้คนสนใจติดโซลาร์เซลล์กันเยอะ เข้าใจว่าแต่ละที่ยุ่ง ส่งถามไป 10ที่ ตอบมา 3 ที่ 

เลยอยากขอรีวิวเพื่อนๆที่ติดแล้ว หรือมัดจำไปแล้ว บริการของที่ไหนดีบ้างขอบริษัทที่อยู่ใน กทม นนทบุรี",8,"ผู้โพสต์สนใจติดตั้งโซลาร์เซลล์อย่างชัดเจน กำลังเปรียบเทียบบริการจากหลายบริษัท ส่งคำถามไป 10 ที่ และมัดจำไปแล้วบางส่วน แสดงว่าพร้อมตัดสินใจสูง","2026-04-26 16:33","","2026-04-27 10:33:52"
3,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1298997635533632/","ต้องการติดตั้งโซลาร์เซลล์+แบต ครับ
กำลังดูไว้เป็น ชุด 5 kWh 1 เฟส + แบต 16 kW
ใช้ไฟกลางคืนส่วนใหญ่ครับ
ปกติค่าไฟประมาณ 3000-4000 บาท/เดือน
ดูเพิ่มเติม",9,"ต้องการติดตั้งโซลาร์เซลล์พร้อมแบตเตอรี่อย่างชัดเจน มีค่าไฟระดับ 3000-4000 บาท/เดือน (เหมาะกับการลงทุน) ใช้ไฟกลางคืนเป็นหลัก (เหมาะกับระบบแบตเตอรี่) ระบุสเปคที่ต้องการชัดเจน (5 kWh 1 เฟส + แบต 16 kW) แสดงถึงความพร้อมในการซื้อสูง","2026-04-26 20:33","","2026-04-27 10:33:52"
4,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299541712145891/","อยากติดโซล่า
ใช้แอร์ 2 ตัว ตู้เย็น 1 รถEV
ใช้ระบบไหนดีครับ
ค่าไช้จ่ายประมาณเท่าไหร่คับ 5kw+
ขอบคุณไว้ล่วงหน้าครับ",9,"ผู้โพสต์แสดงความต้องการชัดเจนว่าอยากติดโซล่าร์ (ติดตั้ง) มีข้อมูลการใช้ไฟฟ้าที่เฉพาะเจาะจง (แอร์ 2 ตัว ตู้เย็น รถ EV) และถามเกี่ยวกับระบบที่เหมาะสมพร้อมงบประมาณ 5kw+ บ่งบอกว่าอยู่ในขั้นตอนเปรียบเทียบราคาและพร้อมตัดสินใจซื้อ","2026-04-27 10:30","","2026-04-27 10:33:52"
5,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1298326902267372/","คนที่ติดโซล่าเซลไปแล้วรีวิวหน่อยค่ะว่าใช้แบรนด์ไหนกันบ้าง พอดีมีแพลนจะติดแต่ลังเลว่าควรเลือกแบบไหน แบรนด์ไหนดีคะ",8,"ผู้โพสต์มีแผนจะติดตั้งโซล่าเซลล์และกำลังหารีวิวเปรียบเทียบแบรนด์ อยู่ในขั้นตอนพิจารณาซื้อ พร้อมตัดสินใจสูง","2026-04-26 10:33","","2026-04-27 10:33:52"
6,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1298916208875108/","หาบริษัทที่น่าเชื่อถือ ติดตั้งโซล่าเซลอยากได้inverter :Huawei
ในกทม ค่าไฟประมาณ 4,500-6,500 บาท/เดือนครับ
รายละเอีนดใช้ไฟ ในคอมเม้น",9,"ต้องการติดตั้งโซล่าเซลล์ ระบุแบรนด์ Inverter ที่ต้องการ (Huawei) บอกค่าไฟต่อเดือน (4,500-6,500 บาท) และพื้นที่ (กรุงเทพฯ) ขอหาบริษัทที่น่าเชื่อถือ → พร้อมซื้อและติดตั้งสูง","2026-04-26 18:33","","2026-04-27 10:33:52"
7,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1605886363854673/"," ค่าไฟแพงแบบนี้…ต้องรีบติดโซล่าเซลล์... ดูเพิ่มเติม",9,"ผู้投稿 expressing need และ urgency ในการติดตั้งโซล่าเซลล์เนื่องจากค่าไฟแพง มีเจตนาชัดเจนในการซื้อ/ติดตั้ง","2026-04-27 10:22","","2026-04-27 10:33:52"



"=== NOT BUYER LEADS (Filtered Out) ==="

1,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527415850860930/","บริษัท เอราวัณ โซล่าร์ รับสมัครพนักงานติดตั้ง 1 ตำแหน่ง(ชาย)
****-วิศวกร งานติดตั้งระบบไฟฟ้า/โซล่าร์ 18,000-28,000 บาท/เดือน (มีประสบการณ์)***
****-ช่างติดตั้งระบบโซล่าร์ บ้าน/โรงงาน 3 ตำแหน่ง(ชาย) ค่",0,"Error: The read operation timed out","2026-04-27 10:32","","2026-04-27 10:33:52"
2,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527414054194443/","#ติดตั้งแผงโซล่าเซลล์ #SolarRooftop #ประหยัดค่าไฟ #พลังงานแสงอาทิตย์",2,"เป็นการโพสต์แฮชแท็กทั่วไปเกี่ยวกับโซล่าเซลล์ ไม่มีสัญญาณว่าผู้โพสต์ต้องการซื้อหรือติดตั้ง อาจเป็นผู้ขายหรือคนที่แชร์ข้อมูลทั่วไป","2026-04-27 10:30","","2026-04-27 10:33:52"
3,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527397097529472/","สนใจแผงโซล่าเซลล์Aiko 
สินค้ามีพร้อมส่ง Aiko650w ค่ะ
สั่งซื้อสอบถามติดต่อเกได้เลยค่ะ
โทร.065-9569689   
แอดไลน์ID gaga 65
สนใจแผงโซล่าเซลล์Aiko ... ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขายแผงโซล่าเซลล์ Aiko โฆษณาสินค้าพร้อมส่งและแสดงเบอร์ติดต่อซื้อขาย ไม่ใช่ผู้สนใจซื้อหรือติดตั้ง","2026-04-27 10:06","","2026-04-27 10:33:52"
4,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527410104194838/","ลิเธียม 3.2v 314Ah *** สินค้าใหม่ ในราคา ฿9,990ที่ Shopee
พิกัดลิงก์
https://s.shopee.co.th/BQBrByg1q",0,"ผู้โพสต์เป็นผู้ขายสินค้า (ลิเธียมแบตเตอรี่) บน Shopee ไม่ใช่ผู้ต้องการซื้อหรือติดตั้งโซลาร์เซลล์","2026-04-27 10:24","","2026-04-27 10:33:52"
5,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527409367528245/","THAI UNION... ดูเพิ่มเติม",0,"โพสต์ไม่เกี่ยวข้องกับการซื้อหรือติดตั้งโซลาร์เซลล์","2026-04-27 10:23","","2026-04-27 10:33:52"
6,"1925997401002801","https://www.facebook.com/groups/1925997401002801/posts/4527406350861880/","สต๊อกแผงโซล่าเซลล์ 600W RAPD แบบจุกๆ 80 เรท
✅ ราคาปลีก
✅ ราคาส่ง... ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขายแผงโซล่าเซลล์ มีการแจ้งราคาปลีกและราคาส่ง ไม่ใช่ผู้ที่ต้องการซื้อหรือติดตั้งแผงโซล่าเซลล์","2026-04-27 10:18","","2026-04-27 10:33:52"
7,"383849116272497","https://www.facebook.com/groups/383849116272497/posts/1659722728685123/"," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขายแผงโซลาร์เซลล์มือสอง ไม่ได้แสดงความต้องการซื้อหรือติดตั้ง","2026-04-26 10:33","","2026-04-27 10:33:52"
8,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359386304306360/","ขออนุญาตแอดมินค่ะ
มีแผงโซล่าเซลล์พร้อมส่งค่ะ Aiko650w
4.8-4.9 /w 3,120-3,185 ต่อแผง
ราคาไม่รวมvat. ไม่รวมส่งค่ะ
ค่าขนส่งคิดตามระยะทาง
ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขายแผงโซล่าเซลล์ Aiko 650w ระบุราคาและสภาพพร้อมส่ง ชัดเจนว่าเป็นผู้ขายไม่ใช่ผู้ต้องการซื้อหรือติดตั้ง","2026-04-27 10:32","","2026-04-27 10:33:52"
9,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359383960973261/","ยินดีกับลูกค้าโซล่าเชลล์บ้านด้วยนะครับ ธนาคารอนุมัติแล้วครับ",0,"โพสต์โดยผู้ขายโซล่าเซลล์ที่กำลังฉลองลูกค้าที่ธนาคารอนุมัติสินเชื่อแล้ว เป็นการประกาศขายไม่ใช่ผู้ที่ต้องการซื้อ","2026-04-27 10:30","","2026-04-27 10:33:52"
