No,Group,Post URL,Message,PostTime,ScrapedAt
1,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527509520851563/,240W แผงละ 499 บาท... ดูเพิ่มเติม,23 นาที,2026-04-27 12:45:35
2,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527509310851584/,"จำหน่ายแผงโซล่าร์เซลล์
คุณภาพมาตรฐานระดับโลก Tier 1... ดูเพิ่มเติม",24 นาที,2026-04-27 12:45:35
3,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527500667519115/,"ราคาไม่แพงแบตลิเธียมประกอบแบตเต็มตรงปก 24 v(25.9- 29.4) 246 ah ผ่อนได้ด้วย พร้อมส่งมีเก็บเงินปลายทาง
https://s.shopee.co.th/gMSZu8WRO",36 นาที,2026-04-27 12:45:35
4,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527489487520233/,อยากเปิดแอร์ไฟฟรีกลางวันไม่ว่าจะเป็นแอร์อินเวอร์เต​อร์​หรือแอร์ Fix speed  900... ดูเพิ่มเติม,48 นาที,2026-04-27 12:45:41
5,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527488474187001/, 5 อันดับ Inverter ยอดเยี่ยมในไทย (2025)... ดูเพิ่มเติม,49 นาที,2026-04-27 12:45:45
6,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527481434187705/,"รับติดตั้งระบบโซล่าเซลล์ทั่วประเทศ เพียงแต่คุณมีอุปกรณ์ครบ ติดต่อ 093-262-3299
เงื่อนไขดังนี้... ดูเพิ่มเติม",58 นาที,2026-04-27 12:45:45
7,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527462037522978/, #ขอขอบคุณ พี่บอล พาเที่ยว ที่ให้ดูแล นะครับ ,1 ชั่วโมง,2026-04-27 12:45:49
8,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1659722728685123/," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",2 วัน,2026-04-27 12:46:08
9,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1657457405578322/,"⚠️ ด่วน! ค่าไฟรอบใหม่ขึ้นอีกแล้ว ⚠️
พ.ค. – ส.ค. 𝟐𝟓𝟔𝟗 นี้ ค่า 𝐅𝐭 ปรับขึ้นเป็น 𝟎.𝟏𝟔𝟐𝟑 บาท/หน่วย จากเดิม 𝟎.𝟎𝟗𝟕𝟐 บาท/หน่วย แปลว่าทั้งบ้านและธุรกิจต้องเตรี... ดูเพิ่มเติม",4 วัน,2026-04-27 12:46:32
10,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359499684295022/,ตอนเย็นใช้ซักผ้า อบผ้า เปิดไฟในบ้าน ตู้เย็น 2 ประตู 1 ตู้ ตู้ฟิช 1 ตู้ ใช้แอร์ 12000 กลางคืน 5 ชม อยากได้ออฟกริช ต้องใช้ชุดไหนดีครับ แนะนำหน่อย มือใหม่ครับ,3 นาที,2026-04-27 12:46:47
11,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359499590961698/,Smart meter... ดูเพิ่มเติม,3 นาที,2026-04-27 12:46:47
12,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359495937628730/,"สอบถามครับ จะใช้ไฟฟ้า แค่ตอนกลางวัน  on grid ไม่ติดแบต(อนาคตมีเงินค่อยติดเพิ่ม) ช่วยแนะนำใช้ inverter กี่ kw ดีครับ.
เพิ่มเติม:
-พึ่งซื้อแผง longi himo /650 w มาแล้ว 4 แผง ที่ไทยวัสดุ
-มีแอร์ 18,500 b",8 นาที,2026-04-27 12:46:47
13,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359494017628922/,ตามหาระบบโซล่าพร้อมติดตั้ง สนใจระบบ 5-6k deye lux แบต 10-15k เสนอราคามาได้ หน้างานอยู่ประชาอุทิศ บางมด,11 นาที,2026-04-27 12:46:47
