No,Status,Group,Post URL,Message,Score,Reason
1,✅ Lead,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527414054194443/,#ติดตั้งแผงโซล่าเซลล์ #SolarRooftop #ประหยัดค่าไฟ #พลังงานแสงอาทิตย์,9,ผู้โพสต์ต้องการติดตั้งแผงโซล่าเซลล์และสนใจประหยัดค่าไฟฟ้า มีเจตนาชัดเจนในการติดต
2,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359422744302716/,"แนะนำร้านที่รับติดโซล่า แบบ hybrid  ที่สนใจ ใส่ใจลูกค้าหน่อยค่ะ เจอเทมาหลายเพจละค่ะ 
Note 
Inverter  5kw 
แบต 5kw-10 kw ค่ะ
และขอลดหย่อนภาษีได้",8,"ต้องการติดตั้งโซล่า hybrid มีสเปคชัดเจน (Inverter 5kw, แบต 5-10kw) และสนใจเรื่อง"
3,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359422697636054/,ช่วยแนะนำแหล่งซื้ออินวอเตอร์ Huawei ให้ทีครับ,7,ต้องการซื้ออินวอเตอร์ Huawei ซึ่งเป็นอุปกรณ์หลักของระบบโซลาร์เซลล์ แสดงเจตนาชัดเ
4,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359420164302974/,inverter ระบุ Max PV Input Current: 18A ถามว่าใช้กับแผง 700w isc 18.8 imp 17.54 ได้ไหม,7,ผู้โพสต์สอบถามเรื่องความเข้ากันได้ระหว่างอินเวอร์เตอร์กับแผงโซลาร์เซลล์ 700W ซึ่
5,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359418154303175/,"กำลังจะติดโซล่าเซลล์แบบ on-grid Hybrid
ค่าไฟ8000-12000/เดือน
ช่วยแนะนำข้อดี/ข้อเสียหน่อยครับ",9,ตั้งใจติดโซล่าเซลล์ Hybrid แล้ว กำลังหาข้อมูลเปรียบเทียบข้อดี-ข้อเสียก่อนตัดสินใ
6,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298868955546500/,"ช่วงนี้คนสนใจติดโซลาร์เซลล์กันเยอะ เข้าใจว่าแต่ละที่ยุ่ง ส่งถามไป 10ที่ ตอบมา 3 ที่ 

เลยอยากขอรีวิวเพื่อนๆที่ติดแล้ว หรือมัดจำไปแล้ว บริการของที่ไหนดีบ้างขอบริษัทที่อยู่ใน กทม นนทบุรี",9,กำลังหาข้อมูลติดตั้งโซลาร์เซลล์ ส่งสอบถามไป 10 ที่ และมัดจำไปแล้ว ต้องการรีวิวบร
7,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298849375548458/,"หาบริบัทติดตั้ง โซลาเซล ในชลบุรี ใช้ไฟทั้งกลางวันและกลางคืน ค่าไฟที่บ้านอยู่ประมาน4000-5000
ขอบคุณครับ",9,ผู้โพสต์กำลังมองหาบริษัทติดตั้งโซลาร์เซลล์ในชลบุรี ระบุพฤติกรรมการใช้ไฟฟ้าทั้งกล
8,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299541712145891/,"อยากติดโซล่า
ใช้แอร์ 2 ตัว ตู้เย็น 1 รถEV
ใช้ระบบไหนดีครับ
ค่าไช้จ่ายประมาณเท่าไหร่คับ 5kw+
ขอบคุณไว้ล่วงหน้าครับ",8,ผู้ใช้ต้องการติดตั้งโซล่าเซลล์ ระบุพฤติกรรมการใช้ไฟฟ้า (แอร์ 2 ตัว ตู้เย็น EV) ถ
9,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298934505539945/,"หาช่างมีผลงานทำโซล่าเซลล์อาคาร 10kw 28 โครงการในขอนแก่น,ชัยภูมิ
0644495288 วันธรรมดา",9,ผู้โพสต์ต้องการช่างที่มีผลงานติดตั้งโซล่าเซลล์อาคาร 10kW ในพื้นที่ขอนแก่นและชัยภ
10,✅ Lead,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4061443357488623/,"TRINA SOLAR
ซื้อจำนวนเยอะ
EPC
มีราคาพิเศษ... ดูเพิ่มเติม",8,ผู้โพสต์ต้องการซื้อแผงโซลาร์เซลล์ TRINA SOLAR จำนวนมาก ระบุชัดเจนว่าเป็นผู้ซื้อ 
