No,Status,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),ScrapeAt (UTC+7)
1,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359581724286818/,"แนะนำ on-off grid ระบบ 48 หม้อแปลงให้ตัวนึงครับ
จะเอาไปสำรองไฟแอร์
ขอบคุณครับ",8,ต้องการซื้อและติดตั้งระบบโซลาร์เซลล์ on-off grid 48V เพื่อสำรองไฟแอร์ มีความต้อง,24 นาที,2026-04-27 14:53:36
2,✅ Lead,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359577670953890/,ตอนนี้ติด 5 KW ทำเรื่องขายให้กับการไฟฟ้าแล้ว แล้วจะเพิ่มเป็น 10 KW (ไฟ 1 เฟส)ได้ไหมครับ,8,ผู้ใช้มีระบบติดตั้งอยู่แล้ว 5 KW และสนใจเพิ่มกำลังการผลิตเป็น 10 KW แสดงว่าพร้อม,วันเฉลิม แก้ววิสูตร,2026-04-27 14:53:58
3,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298914625541933/,สอบถาม ราคา แผ่นโซลาร์เซลล์ 600 วัตต์โมโน 12 เเผ่น,5,ผู้โพสต์สอบถามราคาแผ่นโซลาร์เซลล์ 600W โมโนคริสตัลลีน 12 แผ่น แสดงถึงความสนใจในก,21 ชั่วโมง,2026-04-27 14:54:23
4,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1298861055547290/,"สอบถามราคาติดตั้ง
ออนกริด 5kW ตอนนี้
อยู่ที่ราคาเท่าไหร่ครับ
ถูกใจเดี๋ยวทักไปเองครับ",8,สอบถามราคาติดตั้งระบบออนกริด 5kW โดยตรง มีความสนใจในการติดตั้งจริง และมีเจตนาซื้,23 ชั่วโมง,2026-04-27 14:54:23
5,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299652082134854/,แนะนำหน่อยคะ อยากได้บริษัทที่สามารถผ่อนได้เป็นสินเชื่อของบริษัทโดยตรง  มีมั้ยคะ,8,ต้องการซื้อและติดตั้งโซลาร์เซลล์ ถามหาบริษัทที่ผ่อนชำระเป็นสินเชื่อของบริษัทโดยต,1 ชั่วโมง,2026-04-27 14:54:28
6,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299621202137942/,ปรึกษาคา... ดูเพิ่มเติม,5,ผู้โพสต์ขอคำปรึกษาเรื่องค่าใช้จ่ายและต้องการดูข้อมูลเพิ่มเติมเกี่ยวกับการติดตั้ง,2 ชั่วโมง,2026-04-27 14:54:34
7,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299679135465482/,รบกวนสอบถาม ถ้าเราติดตั้งแผงโซล่าบนโครงหลังคาโครงสร้างเหล็ก แล้วเราไม่มั่นใจเรื่องไฟรั่ว จะมีวิธีตรวจสอบเบื้องต้นยังไงได้บ้างครับ เอาพวกไขควงวัดไฟไปจิ้มๆตามเสาได้ไหมครับ กังวลเรื่องมาตรฐานการติดตั้งกั,9,ผู้โพสต์กำลังเตรียมติดตั้งแผงโซล่าบนหลังคาโครงสร้างเหล็ก ถามเรื่องวิธีตรวจสอบไฟร,47 นาที,2026-04-27 14:54:48
8,✅ Lead,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299541712145891/,"อยากติดโซล่า
ใช้แอร์ 2 ตัว ตู้เย็น 1 รถEV
ใช้ระบบไหนดีครับ
ค่าไช้จ่ายประมาณเท่าไหร่คับ 5kw+
ขอบคุณไว้ล่วงหน้าครับ",9,แสดงความต้องการติดตั้งโซลาร์เซลล์ชัดเจน ระบุปริมาณการใช้ไฟฟ้า (แอร์ 2 ตัว ตู้เย็,4 ชั่วโมง,2026-04-27 14:54:53
9,✅ Lead,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605886363854673/, ค่าไฟแพงแบบนี้…ต้องรีบติดโซล่าเซลล์... ดูเพิ่มเติม,9,ต้องการติดตั้งโซล่าเซลล์เนื่องจากค่าไฟแพง แสดงความต้องการชัดเจนและเร่งด่วน (รีบ),4 ชั่วโมง,2026-04-27 14:56:20
10,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527603964175452/,"RAPD ส่งฟรี Li - BATTERY Lithium 300Ah 200Ah 100Ah 51.2 V มีให้เลือก 3แบบ (NEW)
 https://s.shopee.co.th/5L8IGIiNct
 https://s.lazada.co.th/s.ZgG9ML?t=p-i6YYjZo-sSIKWAX",0,ผู้โพสต์เป็นผู้ขายสินค้า BATTERY Lithium ผ่าน Shopee และ Lazada ไม่มีใครแสดงความ,15 นาที,2026-04-27 14:52:18
